clip_id,frame,time_sec,track_id,source_track_id,class_name,team,x,y,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,x_norm,y_norm,zone,calibration_id,calibration_status,calibration_confidence,track_quality,notes
video_836,120,2.00979,ball_bt_01,ball_bt_01,ball,neutral,1089.803955078125,746.2714538574219,1075.2904052734375,731.8848876953125,1104.3175048828125,760.6580200195312,0.78125,0.801326,0.412761,unknown,none,uncalibrated,0.0,usable,
video_836,120,2.00979,robot_bt_01,robot_bt_01,robot,neutral,957.4930114746094,783.8185424804688,890.1028442382812,692.2723388671875,1024.8831787109375,875.36474609375,0.7265625,0.704039,0.433528,unknown,none,uncalibrated,0.0,usable,
video_836,120,2.00979,robot_bt_02,robot_bt_02,robot,neutral,239.0671844482422,1490.4219970703125,68.01409912109375,1268.610107421875,410.1202697753906,1712.23388671875,0.734375,0.175785,0.824348,unknown,none,uncalibrated,0.0,usable,
video_836,120,2.00979,robot_bt_03,robot_bt_03,robot,neutral,763.0166625976562,789.0734252929688,702.2845458984375,704.7337646484375,823.748779296875,873.4130859375,0.6875,0.561042,0.436434,unknown,none,uncalibrated,0.0,usable,
video_836,121,2.026538,ball_bt_01,ball_bt_01,ball,neutral,1092.6109008789062,745.242919921875,1078.5914306640625,731.2071533203125,1106.63037109375,759.2786865234375,0.8125,0.80339,0.412192,unknown,none,uncalibrated,0.0,usable,
video_836,121,2.026538,robot_bt_01,robot_bt_01,robot,neutral,954.4153747558594,783.3172302246094,886.18603515625,691.7339477539062,1022.6447143554688,874.9005126953125,0.68359375,0.701776,0.433251,unknown,none,uncalibrated,0.0,usable,
video_836,121,2.026538,robot_bt_02,robot_bt_02,robot,neutral,239.71172714233398,1485.456298828125,69.41649627685547,1267.03173828125,410.0069580078125,1703.880859375,0.6953125,0.176259,0.821602,unknown,none,uncalibrated,0.0,usable,
video_836,121,2.026538,robot_bt_03,robot_bt_03,robot,neutral,770.0498352050781,787.456787109375,710.1405639648438,703.2642822265625,829.9591064453125,871.6492919921875,0.63671875,0.566213,0.43554,unknown,none,uncalibrated,0.0,usable,
video_836,122,2.043287,ball_bt_01,ball_bt_01,ball,neutral,1096.8701782226562,743.5165100097656,1082.3414306640625,729.9259643554688,1111.39892578125,757.1070556640625,0.8046875,0.806522,0.411237,unknown,none,uncalibrated,0.0,usable,
video_836,122,2.043287,robot_bt_01,robot_bt_01,robot,neutral,951.035400390625,784.7848510742188,883.2266845703125,695.3063354492188,1018.8441162109375,874.2633666992188,0.7265625,0.699291,0.434062,unknown,none,uncalibrated,0.0,usable,
